"장소별(1)","장소별(2)",범죄별(1),범죄별(2),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"계","소계",계,소계,137725,132966,130674,126401,117839,107835,101948,103668,92679,80445
"계","소계",계,살인,179,152,158,163,148,142,143,136,141,124
"계","소계",계,강도,570,420,343,276,262,169,143,136,138,122
"계","소계",계,강간강제추행,4908,5387,5462,5449,6002,6963,6412,6469,5763,4911
"계","소계",계,절도,61436,61585,59393,55307,46857,41162,39175,42204,38293,33531
"계","소계",계,폭력,70632,65422,65318,65206,64570,59399,56075,54723,48344,41757
"계","아파트 연립다세대",계,소계,5375,9273,5671,5039,4660,4523,7682,8999,9597,9848
"계","아파트 연립다세대",계,살인,26,26,22,20,12,21,29,25,32,30
"계","아파트 연립다세대",계,강도,23,37,37,20,20,20,10,7,11,25
"계","아파트 연립다세대",계,강간강제추행,306,412,296,283,284,319,441,533,556,596
"계","아파트 연립다세대",계,절도,2862,5001,2765,1866,1504,1209,1907,2455,2867,2632
"계","아파트 연립다세대",계,폭력,2158,3797,2551,2850,2840,2954,5295,5979,6131,6565
"계","단독주택",계,소계,6874,11596,7325,6408,6266,5092,8150,8757,8200,7924
"계","단독주택",계,살인,26,41,36,39,30,25,40,36,35,26
"계","단독주택",계,강도,51,39,36,23,15,11,16,12,12,10
"계","단독주택",계,강간강제추행,387,503,404,346,395,413,538,552,588,625
"계","단독주택",계,절도,3604,5922,3655,2498,2246,1340,2020,2163,2045,1705
"계","단독주택",계,폭력,2806,5091,3194,3502,3580,3303,5536,5994,5520,5558
"계","노상",계,소계,28387,46873,39067,37548,35003,32063,32372,32295,29395,25921
"계","노상",계,살인,32,29,33,37,22,27,24,26,23,30
"계","노상",계,강도,151,141,92,70,86,43,42,36,28,31
"계","노상",계,강간강제추행,743,1150,1007,924,986,1061,978,946,853,689
"계","노상",계,절도,9011,14183,11931,11407,9356,8255,9087,10198,10235,10117
"계","노상",계,폭력,18450,31370,26004,25110,24553,22677,22241,21089,18256,15054
"계","상점",계,소계,5000,8791,5068,4816,5385,5047,8635,10092,9626,9455
"계","상점",계,살인,1,4,-,1,1,1,3,1,1,1
"계","상점",계,강도,65,69,45,34,34,22,27,22,25,25
"계","상점",계,강간강제추행,44,104,102,73,95,116,170,178,202,161
"계","상점",계,절도,4002,6909,3988,3903,4403,4119,6990,8464,8013,8054
"계","상점",계,폭력,888,1705,933,805,852,789,1445,1427,1385,1214
"계","숙박업소목욕탕",계,소계,3990,5393,2320,1638,1533,1437,2410,2397,1756,982
"계","숙박업소목욕탕",계,살인,2,4,8,3,4,5,3,7,4,4
"계","숙박업소목욕탕",계,강도,13,16,10,15,9,8,10,7,8,4
"계","숙박업소목욕탕",계,강간강제추행,511,775,471,395,389,408,553,528,441,302
"계","숙박업소목욕탕",계,절도,2953,3779,1506,952,828,670,1249,1297,813,254
"계","숙박업소목욕탕",계,폭력,511,819,325,273,303,346,595,558,490,418
"계","유흥접객업소",계,소계,7353,12658,5993,5004,5098,5077,9356,9725,7199,3633
"계","유흥접객업소",계,살인,9,12,6,5,8,10,8,9,7,4
"계","유흥접객업소",계,강도,31,37,17,14,13,5,4,19,16,2
"계","유흥접객업소",계,강간강제추행,279,498,364,342,398,495,851,968,782,377
"계","유흥접객업소",계,절도,2911,5093,2452,2204,2034,1809,3231,3481,2490,1204
"계","유흥접객업소",계,폭력,4123,7018,3154,2439,2645,2758,5262,5248,3904,2046
"계","사무실",계,소계,2668,3656,2940,2458,2052,1772,2354,2203,2030,1817
"계","사무실",계,살인,9,6,9,3,1,5,6,4,7,3
"계","사무실",계,강도,8,17,11,8,8,5,6,4,5,5
"계","사무실",계,강간강제추행,77,116,127,91,132,130,114,128,155,177
"계","사무실",계,절도,1039,1536,1216,994,682,564,721,626,583,472
"계","사무실",계,폭력,1535,1981,1577,1362,1229,1068,1507,1441,1280,1160
"계","역대합실",계,소계,939,1600,874,843,808,908,1455,1524,1230,1047
"계","역대합실",계,살인,1,1,-,-,-,-,1,-,-,1
"계","역대합실",계,강도,4,2,2,-,-,1,1,1,1,1
"계","역대합실",계,강간강제추행,101,211,144,181,181,242,280,255,174,188
"계","역대합실",계,절도,382,665,401,407,355,335,531,593,496,362
"계","역대합실",계,폭력,451,721,327,255,272,330,642,675,559,495
"계","교통수단",계,소계,1796,2826,2079,2173,2197,2359,3110,3358,2791,2412
"계","교통수단",계,살인,-,-,1,-,-,1,1,-,2,0
"계","교통수단",계,강도,3,3,1,3,1,-,1,3,2,2
"계","교통수단",계,강간강제추행,460,685,694,812,841,1105,968,966,632,658
"계","교통수단",계,절도,877,1261,936,1026,889,744,1001,1156,1054,759
"계","교통수단",계,폭력,456,877,447,332,466,509,1139,1233,1101,993
"계","유원지",계,소계,968,1481,1057,951,854,754,1152,1248,941,869
"계","유원지",계,살인,3,3,1,4,2,1,1,2,-,1
"계","유원지",계,강도,4,3,5,1,2,1,-,2,1,2
"계","유원지",계,강간강제추행,43,65,48,51,59,51,57,54,66,56
"계","유원지",계,절도,459,774,472,424,367,282,613,649,492,417
"계","유원지",계,폭력,459,636,531,471,424,419,481,541,382,393
"계","학교",계,소계,1308,1357,679,640,636,518,634,685,319,325
"계","학교",계,살인,1,-,-,1,-,-,-,-,-,0
"계","학교",계,강도,1,2,-,-,-,-,-,-,1,0
"계","학교",계,강간강제추행,18,38,26,46,33,49,60,49,29,37
"계","학교",계,절도,894,1018,425,397,400,247,296,363,160,141
"계","학교",계,폭력,394,299,228,196,203,222,278,273,129,147
"계","금융기관",계,소계,1314,1992,1530,1322,1127,1024,1375,1199,949,694
"계","금융기관",계,살인,-,-,-,-,1,-,-,-,-,0
"계","금융기관",계,강도,4,-,-,3,1,3,2,1,1,1
"계","금융기관",계,강간강제추행,1,2,1,1,2,1,6,3,3,2
"계","금융기관",계,절도,1257,1891,1482,1273,1081,990,1302,1104,873,635
"계","금융기관",계,폭력,52,99,47,45,42,30,65,91,72,56
"계","기타",계,소계,71753,25470,56071,57561,52220,47261,23263,21186,18646,15518
"계","기타",계,살인,69,26,42,50,67,46,27,26,30,24
"계","기타",계,강도,212,54,87,85,73,50,24,22,27,14
"계","기타",계,강간강제추행,1938,828,1778,1904,2207,2573,1396,1309,1282,1043
"계","기타",계,절도,31185,13553,28164,27956,22712,20598,10227,9655,8172,6779
"계","기타",계,폭력,38349,11009,26000,27566,27161,23994,11589,10174,9135,7658
